iter	Passed	Remaining
0	58	235564
1	96	193608
2	113	150997
3	131	131266
4	144	115455
5	157	105013
6	171	97692
7	182	91214
8	193	85670
9	204	81442
10	215	78265
11	227	75591
12	239	73395
13	250	71265
14	262	69852
15	274	68252
16	286	67196
17	297	65863
18	309	64928
19	321	63907
20	333	63146
21	344	62226
22	355	61506
23	366	60790
24	377	60075
25	389	59523
26	400	58984
27	412	58466
28	424	58086
29	436	57768
30	448	57476
31	460	57094
32	472	56749
33	483	56439
34	499	56553
35	511	56330
36	523	56076
37	535	55865
38	547	55640
39	581	57563
40	606	58549
41	619	58350
42	630	58064
43	644	57985
44	661	58164
45	672	57847
46	683	57482
47	693	57072
48	701	56599
49	711	56171
50	720	55756
51	729	55381
52	738	55012
53	748	54676
54	757	54339
55	767	54074
56	777	53804
57	788	53582
58	797	53291
59	808	53076
60	818	52881
61	830	52753
62	843	52683
63	852	52439
64	862	52204
65	874	52106
66	892	52407
67	908	52548
68	922	52531
69	935	52539
70	948	52501
71	962	52513
72	971	52285
73	990	52537
74	999	52310
75	1009	52102
76	1025	52225
77	1037	52189
78	1051	52191
79	1070	52442
80	1082	52386
81	1097	52429
82	1109	52376
83	1123	52381
84	1136	52337
85	1147	52243
86	1160	52214
87	1173	52165
88	1190	52335
89	1202	52225
90	1210	52006
91	1220	51854
92	1241	52154
93	1263	52499
94	1277	52499
95	1289	52448
96	1308	52640
97	1329	52939
98	1344	52977
99	1363	53172
100	1379	53266
101	1397	53411
102	1414	53505
103	1437	53866
104	1446	53676
105	1458	53591
106	1472	53567
107	1481	53403
108	1491	53240
109	1501	53084
110	1510	52938
111	1520	52771
112	1535	52819
113	1548	52782
114	1560	52731
115	1573	52686
116	1586	52650
117	1597	52562
118	1609	52489
119	1621	52437
120	1634	52396
121	1649	52418
122	1662	52411
123	1676	52410
124	1691	52428
125	1704	52415
126	1719	52427
127	1732	52396
128	1745	52381
129	1757	52310
130	1768	52239
131	1782	52241
132	1796	52225
133	1810	52236
134	1821	52140
135	1830	52020
136	1843	51969
137	1853	51867
138	1864	51785
139	1876	51740
140	1887	51669
141	1898	51576
142	1910	51520
143	1926	51575
144	1936	51477
145	1946	51371
146	1956	51283
147	1966	51175
148	1976	51093
149	1988	51026
150	1999	50967
151	2010	50894
152	2022	50855
153	2032	50766
154	2057	51046
155	2073	51099
156	2088	51111
157	2104	51181
158	2121	51256
159	2139	51344
160	2159	51485
161	2179	51639
162	2195	51688
163	2209	51686
164	2224	51696
165	2239	51731
166	2255	51775
167	2278	51967
168	2299	52123
